ID,janvier 2013,février 2013,mars 2013,avril 2013,mai 2013,juin 2013,juillet 2013,août 2013,septembre 2013,octobre 2013,novembre 2013,décembre 2013,janvier 2014,février 2014,mars 2014,avril 2014,mai 2014,juin 2014,juillet 2014,août 2014,septembre 2014,octobre 2014,novembre 2014,décembre 2014,janvier 2015,février 2015,mars 2015,avril 2015,mai 2015,juin 2015,juillet 2015,août 2015,septembre 2015,octobre 2015,novembre 2015,décembre 2015,janvier 2016,février 2016,mars 2016,avril 2016,mai 2016,juin 2016,juillet 2016,août 2016,septembre 2016,octobre 2016,novembre 2016,décembre 2016,janvier 2017,février 2017,mars 2017,avril 2017,mai 2017,juin 2017,juillet 2017,août 2017,septembre 2017,octobre 2017,novembre 2017,décembre 2017,janvier 2018,février 2018,mars 2018,avril 2018,mai 2018,juin 2018,juillet 2018,août 2018,septembre 2018,octobre 2018,novembre 2018,décembre 2018,janvier 2019,février 2019,mars 2019,avril 2019,mai 2019,juin 2019,juillet 2019,août 2019,septembre 2019,octobre 2019,novembre 2019,décembre 2019,janvier 2020,février 2020,mars 2020,avril 2020,mai 2020,juin 2020,juillet 2020,août 2020,septembre 2020,octobre 2020,novembre 2020,décembre 2020,janvier 2021,février 2021,mars 2021,avril 2021,mai 2021,juin 2021,juillet 2021,août 2021,septembre 2021,octobre 2021,novembre 2021,décembre 2021,janvier 2022,février 2022,mars 2022,avril 2022,mai 2022,juin 2022,juillet 2022,août 2022,septembre 2022,octobre 2022,novembre 2022,décembre 2022,Latitude,Longitude,Nom
100003034,7661.0,8062.0,19456.0,73082.0,147274.0,145775.0,168218.0,159005.0,138406.0,107296.0,46932.0,9231.0,8613.0,9886.0,11423.0,55310.0,136918.0,165926.0,152729.0,142241.0,149118.0,80975.0,40031.0,11104.0,5052.0,5009.0,13340.0,65704.0,145217.0,134844.0,152424.0,142849.0,141147.0,93835.0,63847.0,29520.0,9797.0,10204.0,21402.0,66178.0,143116.0,161465.0,160446.0,146520.0,49664.0,,26174.0,15823.0,13298.0,14696.0,18228.0,67683.0,123117.0,155540.0,163549.0,163338.0,149426.0,113107.0,48500.0,16952.0,10903.0,13909.0,25383.0,54631.0,162538.0,167397.0,154815.0,160122.0,143300.0,86184.0,36681.0,16186.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.53044782912952,-73.56954036492331,Rachel - Papineau
100003032,6262.0,6352.0,14967.0,62784.0,132359.0,126983.0,153288.0,142058.0,128662.0,102010.0,41926.0,7345.0,6216.0,6668.0,8464.0,45507.0,117592.0,143901.0,143088.0,130979.0,131047.0,84137.0,39300.0,9260.0,4787.0,4879.0,10947.0,57449.0,145475.0,142070.0,155782.0,139217.0,144408.0,89429.0,57044.0,24119.0,8503.0,8432.0,17294.0,62759.0,136001.0,145972.0,156673.0,146558.0,145296.0,96285.0,52637.0,12185.0,10072.0,10669.0,12788.0,53651.0,108808.0,130536.0,148493.0,141803.0,141808.0,107566.0,44100.0,14205.0,7992.0,9651.0,18072.0,52577.0,158703.0,161620.0,155416.0,146299.0,129766.0,73237.0,24379.0,10374.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.516216,-73.56297,Berri
100001753,,,,,,,,,,8057.0,10054.0,933.0,476.0,443.0,386.0,11637.0,43560.0,61429.0,64864.0,59949.0,49658.0,27902.0,11155.0,1437.0,349.0,199.0,644.0,19428.0,55924.0,58160.0,68700.0,60883.0,55954.0,30501.0,18780.0,7114.0,498.0,673.0,3343.0,22121.0,55859.0,59490.0,65587.0,63311.0,58368.0,31911.0,16694.0,2622.0,1153.0,1443.0,1953.0,19407.0,42722.0,52453.0,57775.0,57020.0,51161.0,36014.0,28850.0,4112.0,126.0,,3754.0,15194.0,57984.0,59797.0,61715.0,53969.0,40901.0,21799.0,7296.0,2678.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.530216,-73.544426,Notre-Dame
100011747,,,,,,,,,,1323.0,4817.0,,,,,,13005.0,16350.0,18354.0,16551.0,15567.0,10138.0,4544.0,1233.0,707.0,504.0,1203.0,33.0,2188.0,4371.0,13852.0,15166.0,15007.0,9610.0,5905.0,2655.0,1084.0,1296.0,1839.0,6955.0,16256.0,18441.0,19823.0,17687.0,17765.0,10596.0,6031.0,1545.0,1193.0,1035.0,1173.0,5630.0,13189.0,14151.0,16797.0,18068.0,15908.0,12790.0,5330.0,1686.0,978.0,1055.0,1544.0,4447.0,17420.0,17237.0,18377.0,19113.0,15226.0,9362.0,3744.0,1478.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.50625,-73.557785,Saint-Antoine
100017523,,,,,,,,,,,,,,,,,,,,,,,6562.0,3390.0,118.0,458.0,5617.0,32756.0,76336.0,62217.0,71652.0,65551.0,67166.0,42934.0,29773.0,12603.0,2555.0,2573.0,8916.0,29079.0,52932.0,56848.0,52653.0,51068.0,55635.0,39899.0,22592.0,3408.0,2795.0,2926.0,5686.0,24203.0,34688.0,55268.0,51034.0,55050.0,66578.0,48261.0,19043.0,5552.0,1940.0,3029.0,8536.0,18939.0,47099.0,62071.0,68066.0,69287.0,63115.0,47010.0,15413.0,4643.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.5193951037592,-73.5886631073951,Saint-Urbain
100002880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,199.0,311.0,23786.0,34007.0,,,72404.0,71993.0,48806.0,16549.0,3420.0,614.0,338.0,1391.0,22623.0,76553.0,80897.0,81737.0,79383.0,65695.0,35509.0,8923.0,811.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.5255082563413,-73.5544220271119,Pont Jacques-Cartier
100025474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18245.0,17342.0,23522.0,90187.0,162053.0,208070.0,225113.0,224125.0,230896.0,189418.0,72192.0,22745.0,11997.0,15362.0,29865.0,72510.0,194937.0,213497.0,205471.0,207027.0,187734.0,128440.0,56775.0,18227.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.5278195427535,-73.6031121673584,Saint-Laurent-Bellechasse
100041114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5379.0,44533.0,42695.0,39275.0,27208.0,7849.0,1385.0,193.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.55759296561201,-73.67322198070093,Eco-Display Parc Stanley
100041101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,29.0,146.0,595.0,1619.0,1932.0,1892.0,1800.0,1660.0,772.0,194.0,87.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.54168,-73.68448,Edmond Valade
100034805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.0,783.0,2524.0,4905.0,17159.0,15638.0,16401.0,15603.0,12933.0,6671.0,2575.0,1125.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.557660786928885,-73.67342519533321,Gouin - Lajeunesse
100054073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3765.0,1132.0,527.0,425.0,389.0,949.0,2523.0,5682.0,7977.0,8699.0,8004.0,7822.0,5542.0,3701.0,1321.0,643.0,535.0,1938.0,5122.0,8651.0,9812.0,9394.0,9976.0,10824.0,7645.0,4250.0,1060.0,421.0,491.0,1577.0,4318.0,578.0,11376.0,11370.0,11241.0,10956.0,8500.0,4984.0,2082.0,45.56071317115146,-73.59063628650485,16e Avenue - Bélanger
100052606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10437.0,11764.0,8103.0,2541.0,1308.0,1020.0,647.0,2433.0,6490.0,14325.0,17428.0,17424.0,14333.0,12146.0,8141.0,5101.0,1755.0,1137.0,1035.0,3214.0,8512.0,13445.0,13969.0,13332.0,12148.0,11226.0,7820.0,4016.0,1065.0,696.0,677.0,1559.0,5093.0,9082.0,11931.0,12690.0,11620.0,9939.0,7851.0,4166.0,1007.0,45.55508439136479,-73.53881875080648,Bennett
100003032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8812.0,7685.0,13142.0,46327.0,110058.0,125983.0,160696.0,69968.0,57572.0,41925.0,13749.0,12179.0,12158.0,10581.0,14891.0,27969.0,24777.0,66061.0,64279.0,58793.0,53747.0,41216.0,35088.0,12458.0,7488.0,6745.0,21263.0,64740.0,109391.0,113205.0,126851.0,126836.0,134109.0,92117.0,50163.0,12946.0,5897.0,7474.0,16396.0,56211.0,112990.0,158311.0,172938.0,166378.0,146257.0,109794.0,57247.0,16820.0,45.516216,-73.56297,Berri
100053057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7181.0,4762.0,2206.0,302.0,142.0,70.0,108.0,1322.0,5730.0,6851.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.44692242889087,-73.7827912507652,Bord-du-Lac vers est
100053058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7195.0,4845.0,1864.0,210.0,139.0,58.0,113.0,1329.0,5481.0,6283.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.44699362538782,-73.78264165424379,Bord-du-Lac vers ouest
100012218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5687.0,4953.0,9351.0,37014.0,94463.0,113781.0,234008.0,114278.0,93294.0,62926.0,18934.0,8576.0,8163.0,7091.0,14065.0,35141.0,71023.0,,37814.0,43877.0,43806.0,34975.0,28495.0,7660.0,4220.0,3847.0,12876.0,43244.0,8927.0,56988.0,61890.0,60325.0,27261.0,10818.0,20869.0,5830.0,1921.0,,,,11474.0,65697.0,65954.0,59935.0,53539.0,43366.0,21878.0,6585.0,45.53365,-73.59459,Boyer - Rosemont
100035408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3427.0,3307.0,7065.0,26680.0,62960.0,75143.0,158534.0,72586.0,57591.0,42104.0,12987.0,6325.0,6500.0,5851.0,11796.0,28133.0,60784.0,47946.0,44995.0,40873.0,23907.0,29857.0,25805.0,7772.0,4836.0,166.0,7235.0,32831.0,60194.0,60528.0,55574.0,52374.0,33588.0,19321.0,22705.0,5305.0,3313.0,3688.0,7408.0,22008.0,41215.0,51727.0,51868.0,46925.0,43202.0,35185.0,18385.0,5898.0,45.54346079168719,-73.61668336519156,Boyer - Everett
100004575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,345.0,305.0,228.0,,,,,,,,31.0,54.0,4.0,6.0,5.0,21372.0,50581.0,60336.0,63346.0,70134.0,59740.0,38050.0,18085.0,187.0,,,,,,,,,57378.0,40911.0,15267.0,16.0,,19.0,30.0,19984.0,41373.0,51140.0,55937.0,55110.0,49688.0,41694.0,16988.0,64.0,45.527496,-73.57432,Brébeuf - Rachel
100035409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,837.0,138.0,156.0,10160.0,33765.0,39709.0,79212.0,37958.0,32883.0,20793.0,4730.0,2276.0,1455.0,1149.0,4476.0,21273.0,47360.0,33225.0,33999.0,29817.0,26203.0,10803.0,14548.0,2946.0,1176.0,1100.0,7079.0,27018.0,41803.0,38650.0,35617.0,31806.0,31427.0,19831.0,9897.0,1995.0,925.0,1105.0,2382.0,12276.0,25548.0,31579.0,33553.0,28867.0,26714.0,20833.0,10007.0,2603.0,45.55773,-73.64662,Christophe-Colomb-Louvain
100003041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3074.0,2668.0,6747.0,24523.0,54107.0,60708.0,127758.0,61133.0,70859.0,48629.0,8926.0,,7409.0,6156.0,9269.0,20623.0,46304.0,58448.0,65466.0,61508.0,60265.0,38010.0,26160.0,7860.0,5346.0,4818.0,13971.0,34638.0,59137.0,63212.0,57215.0,63038.0,84662.0,58545.0,33222.0,8064.0,3964.0,6148.0,11741.0,29012.0,53017.0,63453.0,58327.0,60735.0,63037.0,43719.0,21964.0,7009.0,45.5149,-73.607506,Côte Sainte-Catherine - Stuart
